,TV Ad Budget ($),Radio Ad Budget ($),Newspaper Ad Budget ($),Sales ($)
113,175.7,15.4,2.4,141
114,209.6,20.6,10.7,159
115,78.2,46.8,34.5,146
116,75.1,35,52.7,126
117,139.2,14.3,25.6,122
118,76.4,0.8,14.8,94
119,125.7,36.9,79.2,159
120,19.4,16,22.3,66
121,141.3,26.8,46.2,155
122,18.8,21.7,50.4,70
123,224,2.4,15.6,116
124,123.1,34.6,12.4,152
125,229.5,32.3,74.2,197
126,87.2,11.8,25.9,106.3
127,7.8,38.9,50.6,66
128,80.2,0,9.2,88
129,220.3,49,3.2,247
130,59.6,12,43.1,97
131,0.7,39.6,8.7,56
132,265.2,2.9,43,127
133,8.4,27.2,2.1,57
134,219.8,33.5,45.1,196
135,36.9,38.6,65.6,108
136,48.3,47,8.5,116
137,25.6,39,9.3,95
138,273.7,28.9,59.7,208
139,43,25.9,20.5,96
140,184.9,43.9,1.7,207
141,73.4,17,12.9,109
142,193.7,35.4,75.6,192
143,220.5,33.2,37.9,201
144,104.6,5.7,34.4,104
145,96.2,14.8,38.9,114
146,140.3,1.9,9,103
147,240.1,7.3,8.7,132
148,243.2,49,44.3,254
149,38,40.3,11.9,109
150,44.7,25.8,20.6,101
151,280.7,13.9,37,161
152,121,8.4,48.7,116
153,197.6,23.3,14.2,166
154,171.3,39.7,37.7,190
155,187.8,21.1,9.5,156
156,4.1,11.6,5.7,52
157,93.9,43.5,50.5,153
158,149.8,1.3,24.3,101
159,11.7,36.9,45.2,73
160,131.7,18.4,34.6,129
161,172.5,18.1,30.7,144
162,85.7,35.8,49.3,133
163,188.4,18.1,25.6,149.1
164,163.5,36.8,7.4,180
165,117.2,14.7,5.4,119
166,234.5,3.4,84.8,119
167,17.9,37.6,21.6,80
168,206.8,5.2,19.4,122
169,215.4,23.6,57.6,171
170,284.3,10.6,6.4,150
171,50,11.6,18.4,84
172,164.5,20.9,47.4,145
173,19.6,20.1,17,76
174,168.4,7.1,12.8,117
175,222.4,3.4,13.1,115
176,276.9,48.9,41.8,270
177,248.4,30.2,20.3,202
178,170.2,7.8,35.2,117
179,276.7,2.3,23.7,118
180,165.6,10,17.6,126.4
181,156.6,2.6,8.3,105
182,218.5,5.4,27.4,122
183,56.2,5.7,29.7,87.6
184,287.6,43,71.8,262
185,253.8,21.3,30,176
186,205,45.1,19.6,226
187,139.5,2.1,26.6,103
188,191.1,28.7,18.2,173
189,286,13.9,3.7,159
190,18.7,12.1,23.4,67
191,39.5,41.1,5.8,108
192,75.5,10.8,6,99
193,17.2,4.1,31.6,59
194,166.8,42,3.6,196
195,149.7,35.6,6,173
196,38.2,3.7,13.8,76
197,94.2,4.9,8.1,97
198,177,9.3,6.4,128.9
199,283.6,42,66.2,255
200,232.1,8.6,8.7,134
