profile_gender,profile_age,work_country,work_province,profile_studies_level,profile_studies_level_state,profile_career,profile_university,work_role,salary_monthly_BRUTO,salary_monthly_NETO,salary_in_usd,salary_satisfaction,salary_comparison_last_semester,salary_has_bonus,salary_bonus_tied_to,salary_inflation_adjustment_2020,salary_percentage_inflation_adjustment_2020,salary_month_last_inflation_adjustment,profile_sexual_orientation,profile_has_disabilities_hiring_difficulties,company_employee_number,company_main_activity,company_extra_benefits,company_best_companies_city
Hombre,25,Argentina,Córdoba,Terciario,En curso,Analista de Sistemas,Instituto Terciario Interior de Córdoba,Developer,36800,36800,,3,4,No,No recibo bono,Uno,15,7,Heterosexual,No,01-Oct,Producto basado en Software,"Horarios flexibles, Sueldo divido en dos pagos por mes",
Hombre,37,Argentina,Ciudad Autónoma de Buenos Aires,Universitario,Completado,Ingeniería en Sistemas de Información,UAI - Universidad Abierta Interamericana,Developer,93735,94621,,2,2,Un sueldo,Mix de las anteriores,Uno,8,3,Heterosexual,No,5001-10000,Otras industrias,"Abono de celular, Horarios flexibles",
Hombre,34,Argentina,Tucumán,Universitario,Incompleto,Licenciatura en Informática,Universidad Nacional de Tucumán,Developer,70000,63000,,2,2,No,No recibo bono,Uno,15,6,Heterosexual,No,Nov-50,Otras industrias,Ninguna de las anteriores,
Hombre,45,Argentina,GBA,Secundario,Completado,,,Manager / Director,102000,92000,,3,3,No,No recibo bono,Uno,18,1,Heterosexual,,51-100,Producto basado en Software,"Abono de celular, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",
Hombre,42,Argentina,Córdoba,Universitario,Incompleto,Ingeniería en Sistemas de Información,UTN - Universidad Tecnológica Nacional,Technical Leader,102000,80000,Mi sueldo está dolarizado,1,1,De uno a tres sueldos,Mix de las anteriores,No,0,0,Heterosexual,,2001-5000,Servicios / Consultoría de Software / Digital,"Descuentos varios (Mercado Pago, Clarín 365, Club La Nación, etc), Horarios flexibles",
Hombre,31,Argentina,Ciudad Autónoma de Buenos Aires,Terciario,Completado,Tecnicatura en Informática,Teclab,SysAdmin / DevOps / SRE,100000,75000,,3,3,Menos de un sueldo,anual,Tres,17,5,Heterosexual,,101-200,Otras industrias,Clases de idiomas,
Hombre,24,Argentina,Córdoba,Terciario,Completado,Tecnicatura en Programación,UTN - Universidad Tecnológica Nacional,Developer,140000,100000,,3,3,No,No recibo bono,No,0,0,Heterosexual,No,5001-10000,Servicios / Consultoría de Software / Digital,"Abono de Internet, Capacitaciones y/o cursos, Clases de idiomas, Horarios flexibles, Licencia de paternidad/maternidad extendida, Vacaciones flexibles (adicionales a las reglamentarias)",Globant
Mujer,31,Argentina,Ciudad Autónoma de Buenos Aires,Universitario,Completado,Ingeniería en Informática,UBA - Universidad de Buenos Aires,Developer,88000,70000,,3,3,Un sueldo,Performance de la compañía,Dos,30,2,Heterosexual,,Nov-50,Servicios / Consultoría de Software / Digital,"Capacitaciones y/o cursos, Comidas pagas / subvencionadas, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",
Hombre,22,Argentina,Córdoba,Universitario,En curso,Licenciatura en Ciencias dela Computación,UNRC - Universidad Nacional de Río Cuarto,SysAdmin / DevOps / SRE,125000,93000,,4,4,No,No recibo bono,Uno,10,5,Heterosexual,,01-Oct,Producto basado en Software,"Capacitaciones y/o cursos, Clases de idiomas, Comidas pagas / subvencionadas, Horarios flexibles, Viáticos",
Hombre,26,Argentina,Ciudad Autónoma de Buenos Aires,Terciario,Completado,Analista de Sistemas,UTN - Universidad Tecnológica Nacional,Data Scientist / Data Engineer,75000,68000,,3,3,Menos de un sueldo,Performance de la compañía,Uno,20,3,Heterosexual,No,201-500,Producto basado en Software,"Capacitaciones y/o cursos, Clases de gimnasia online, Clases de idiomas, Comidas pagas / subvencionadas, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)","Medallia, Jamp, Wildlife Studios, MongoDB"
Hombre,37,Argentina,Córdoba,Universitario,Incompleto,Ingeniería en Sistemas de Información,UTN - Universidad Tecnológica Nacional,DBA,87000,80000,,2,1,Un sueldo,Performance de la compañía,No,0,0,¿Qué les importa?,,5001-10000,Otras industrias,"Abono de celular, Abono de Internet, Horarios flexibles",
Hombre,38,Argentina,Córdoba,Universitario,En curso,Licenciado en Artes y Tecnologías,UNQ - Universidad Nacional de Quilmes,Developer,36874,47950,,1,1,No,No recibo bono,Más de tres,50,4,Heterosexual,No,51-100,Producto basado en Software,Comidas pagas / subvencionadas,"No sabría poner una, conozco personalmente solo dos y ambas tienen un pero que me hace no considerarlas."
Hombre,41,Argentina,Santa Fe,Terciario,Incompleto,Analista Universitario de Sistemas,UNR - Universidad Nacional de Rosario,Developer,100000,84000,,3,3,No,No recibo bono,Uno,9,4,Heterosexual,,Nov-50,Producto basado en Software,Ninguna de las anteriores,
Hombre,25,Argentina,Neuquén,Universitario,En curso,Analista Programador Universitario,UNCOMA - Universidad Nacional del Comahue,SysAdmin / DevOps / SRE,47945,38460,,3,3,No,No recibo bono,No,0,0,Heterosexual,,Nov-50,Servicios / Consultoría de Software / Digital,Capacitaciones y/o cursos,
Hombre,23,Argentina,Ciudad Autónoma de Buenos Aires,Secundario,Completado,,,SysAdmin / DevOps / SRE,80000,66000,,2,2,No,No recibo bono,No,0,0,Heterosexual,,1001-2000,Servicios / Consultoría de Software / Digital,Ninguna de las anteriores,
Mujer,30,Argentina,Ciudad Autónoma de Buenos Aires,Universitario,Completado,Ingeniería en Sistemas de Información,UTN - Universidad Tecnológica Nacional,Project Manager,140000,98700,Mi sueldo está dolarizado,3,2,Menos de un sueldo,Performance individual,No,0,0,Heterosexual,,Nov-50,Servicios / Consultoría de Software / Digital,"Clases de idiomas, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",
Hombre,24,Argentina,Ciudad Autónoma de Buenos Aires,Universitario,Incompleto,Ingeniería en Sistemas de Información,UAI - Universidad Abierta Interamericana,Developer,260000,200000,,4,4,De uno a tres sueldos,Performance de la compañía,Uno,15,3,Heterosexual,,Nov-50,Producto basado en Software,"Capacitaciones y/o cursos, Horarios flexibles, Licencia de paternidad/maternidad extendida",
Mujer,30,Argentina,Ciudad Autónoma de Buenos Aires,Universitario,En curso,Ingeniería en Informática,UNDAV (Universidad Nacional de Avellaneda),Developer,36000,31000,,2,2,Menos de un sueldo,Performance grupal,Uno,20,3,Bisexual o queer,,501-1000,Producto basado en Software,"Capacitaciones y/o cursos, Clases de gimnasia online, Clases de idiomas, Comidas pagas / subvencionadas","Southworks, Etermax, Globlalogic"
Mujer,28,Argentina,Ciudad Autónoma de Buenos Aires,Universitario,Completado,Licenciatura en Sistemas de Información,UP - Universidad de Palermo,Business Analyst,94000,74000,,3,2,Un sueldo,Performance individual,No,0,1,Homosexual,No,1001-2000,Producto basado en Software,"Abono de Internet, Comidas pagas / subvencionadas, Cuota para universidad / posgrados, Lactario en la oficina, Licencia de paternidad/maternidad extendida",
Hombre,35,Argentina,GBA,Universitario,Incompleto,Ingeniería en Sistemas de Información,USAL - Universidad del Salvador,SysAdmin / DevOps / SRE,123000,88900,,4,4,De uno a tres sueldos,Mix de las anteriores,Uno,14,7,Heterosexual,,201-500,Otras industrias,"Capacitaciones y/o cursos, Clases de idiomas, Comidas pagas / subvencionadas, Estacionamiento gratuito / subvencionado, Vacaciones flexibles (adicionales a las reglamentarias), Viáticos",
Hombre,53,Argentina,GBA,Universitario,En curso,Licenciatura en Ciencia de Datos,UNaB,SysAdmin / DevOps / SRE,160000,137000,,3,1,Menos de un sueldo,Performance de la compañía,Uno,8,2,Heterosexual,,201-500,Otras industrias,"Abono de celular, Comidas pagas / subvencionadas, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",
Mujer,25,Argentina,Ciudad Autónoma de Buenos Aires,Universitario,En curso,Ingeniería en Sistemas de Información,UTN - Universidad Tecnológica Nacional,QA / Tester,56000,45000,,2,2,No,No recibo bono,Uno,5,3,Heterosexual,No,201-500,Servicios / Consultoría de Software / Digital,"Capacitaciones y/o cursos, Horarios flexibles, Sueldo divido en dos pagos por mes, Vacaciones flexibles (adicionales a las reglamentarias)",
Mujer,28,Argentina,Córdoba,Universitario,Incompleto,Ingeniería en Sistemas de Información,UTN - Universidad Tecnológica Nacional,Developer,63300,51000,,2,2,No,No recibo bono,Dos,6,3,Homosexual,,51-100,Producto basado en Software,Licencia de paternidad/maternidad extendida,La empresa en la que me encuentro
Hombre,35,Argentina,Ciudad Autónoma de Buenos Aires,Universitario,Incompleto,Licenciatura en Ciencias dela Computación,UBA - Universidad de Buenos Aires,Data Scientist / Data Engineer,268000,168000,,4,4,Menos de un sueldo,Performance individual,Dos,17,7,Heterosexual,No,Nov-50,Producto basado en Software,"Clases de idiomas, Horarios flexibles",
Mujer,24,Argentina,GBA,Universitario,En curso,Diseño Multimedial,UNA,Developer,38500,31955,,2,1,No,No recibo bono,Uno,15,1,Bisexual o queer,,2001-5000,Producto basado en Software,"Estacionamiento gratuito / subvencionado, Horarios flexibles, Lactario en la oficina","Medallia, IBM"
Hombre,30,Argentina,Provincia de Buenos Aires,Universitario,En curso,Ingeniería en Computación,UNTREF - Universidad Nacional de Tres de Febrero,Architect,100000,90000,,3,2,No,No recibo bono,No,0,0,,,01-Oct,Producto basado en Software,"Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",
Hombre,33,Argentina,Ciudad Autónoma de Buenos Aires,Secundario,Completado,,,Manager / Director,196000,132000,,3,3,De uno a tres sueldos,Performance de la compañía,Uno,25,3,¿Qué les importa?,,101-200,Servicios / Consultoría de Software / Digital,"Capacitaciones y/o cursos, Clases de idiomas, Horarios flexibles, Licencia de paternidad/maternidad extendida",
Mujer,34,Argentina,Ciudad Autónoma de Buenos Aires,Terciario,Incompleto,Profesorado de música,Conservatorio de música Manuel de Falla ,Project Manager,100000,84000,,4,3,No,No recibo bono,No,0,0,Heterosexual,,Nov-50,Servicios / Consultoría de Software / Digital,"Capacitaciones y/o cursos, Horarios flexibles",
Hombre,21,Argentina,Córdoba,Universitario,En curso,Ingeniería en Sistemas de Información,Universidad católica de Córdoba,Developer,67000,56000,,3,2,No,No recibo bono,Uno,1.3,7,Heterosexual,No,Nov-50,Producto basado en Software,"Capacitaciones y/o cursos, Comidas pagas / subvencionadas, Horarios flexibles",
Hombre,40,Argentina,Ciudad Autónoma de Buenos Aires,Universitario,Incompleto,Licenciatura en Ciencias dela Computación,UBA - Universidad de Buenos Aires,Architect,174000,122000,,1,2,No,No recibo bono,Uno,23,6,Heterosexual,,101-200,Servicios / Consultoría de Software / Digital,"Clases de idiomas, Comidas pagas / subvencionadas, Horarios flexibles",
Mujer,28,Argentina,Ciudad Autónoma de Buenos Aires,Terciario,Incompleto,Tecnicatura en Informática,UTN - Universidad Tecnológica Nacional,QA / Tester,60407,50138,,2,1,No,No recibo bono,Uno,45,1,Bisexual o queer,,201-500,Producto basado en Software,"Descuentos varios (Mercado Pago, Clarín 365, Club La Nación, etc), Estacionamiento gratuito / subvencionado, Horarios flexibles, Licencia de paternidad/maternidad extendida, Vacaciones flexibles (adicionales a las reglamentarias)",
Hombre,35,Argentina,Ciudad Autónoma de Buenos Aires,Universitario,Incompleto,Ingeniería en Informática,UFASTA,Manager / Director,450000,280000,Mi sueldo está dolarizado,3,2,De uno a tres sueldos,Performance de la compañía,No,0,0,Heterosexual,No,201-500,Producto basado en Software,"Abono de celular, Capacitaciones y/o cursos, Clases de idiomas, Comidas pagas / subvencionadas, Estacionamiento gratuito / subvencionado, Horarios flexibles, Lactario en la oficina, Licencia de paternidad/maternidad extendida, Stock options / RSUs, Vacaciones flexibles (adicionales a las reglamentarias)","Medallia, auth0, wildlife"
Hombre,30,Argentina,Ciudad Autónoma de Buenos Aires,Universitario,Completado,Licenciatura en Informática,UTN - Universidad Tecnológica Nacional,Developer,180000,130000,,3,2,Menos de un sueldo,Mix de las anteriores,Uno,10,7,Heterosexual,,5001-10000,Producto basado en Software,"Clases de gimnasia online, Clases de idiomas, Comidas pagas / subvencionadas, Cuota para universidad / posgrados, Descuentos varios (Mercado Pago, Clarín 365, Club La Nación, etc), Lactario en la oficina, Licencia de paternidad/maternidad extendida",Mercado libre
Hombre,45,Argentina,Córdoba,Universitario,Incompleto,Ingeniería en Sistemas de Información,UTN - Universidad Tecnológica Nacional,SysAdmin / DevOps / SRE,149612,126500,Mi sueldo está dolarizado,2,2,No,No recibo bono,No,0,7,Heterosexual,,Nov-50,Servicios / Consultoría de Software / Digital,Clases de idiomas,
Hombre,32,Argentina,GBA,Terciario,En curso,Analista de Sistemas,ORT,SysAdmin / DevOps / SRE,69500,64500,,2,1,No,No recibo bono,Uno,15,7,¿Qué les importa?,,501-1000,Servicios / Consultoría de Software / Digital,"Abono de celular, Abono de Internet, Capacitaciones y/o cursos, Clases de gimnasia online, Clases de idiomas, Descuentos varios (Mercado Pago, Clarín 365, Club La Nación, etc)",
Hombre,27,Argentina,Córdoba,Universitario,En curso,Ingeniería en Sistemas de Información,UTN - Universidad Tecnológica Nacional,Developer,48500,38943,,3,2,No,No recibo bono,No,0,0,Heterosexual,,51-100,Producto basado en Software,Ninguna de las anteriores,"Oversoft, Bit, Rojosoft"
Hombre,25,Argentina,Ciudad Autónoma de Buenos Aires,Terciario,Completado,Licenciatura en Video Juegos,Image Campus,QA / Tester,70000,65023,,3,2,No,No recibo bono,Dos,60,4,¿Qué les importa?,,Nov-50,Producto basado en Software,"Capacitaciones y/o cursos, Clases de idiomas, Comidas pagas / subvencionadas, Horarios flexibles",
Hombre,31,Argentina,Ciudad Autónoma de Buenos Aires,Universitario,Completado,Ingeniería Industrial,UNLP - Universidad Nacional de La Plata,Product Manager,235500,168000,,3,3,De uno a tres sueldos,Mix de las anteriores,Dos,30,7,Heterosexual,,10001+,Producto basado en Software,"Abono de celular, Capacitaciones y/o cursos, Clases de gimnasia online, Clases de idiomas, Comidas pagas / subvencionadas, Cuota para universidad / posgrados, Descuentos varios (Mercado Pago, Clarín 365, Club La Nación, etc), Estacionamiento gratuito / subvencionado, Horarios flexibles, Lactario en la oficina, Licencia de paternidad/maternidad extendida",
Mujer,26,Argentina,GBA,Universitario,En curso,Licenciatura en Artes Multimediales,UNA - Universidad Nacional de las Artes,Designer,48800,43824,,2,2,No,No recibo bono,Uno,12,1,Heterosexual,,10001+,Producto basado en Software,Ninguna de las anteriores,
Hombre,24,Argentina,Santa Fe,Universitario,Incompleto,Ingeniería en Sistemas de Información,UTN - Universidad Tecnológica Nacional,Developer,105000,90000,,3,3,No,No recibo bono,No,0,0,Heterosexual,,5001-10000,Servicios / Consultoría de Software / Digital,"Capacitaciones y/o cursos, Clases de gimnasia online, Clases de idiomas","Endava, Globant, Bonzzu"
Hombre,27,Argentina,Entre Ríos,Universitario,Completado,Ingeniería Electrónica,UTN - Universidad Tecnológica Nacional,Developer,48000,40000,,1,1,No,No recibo bono,Uno,12,1,Heterosexual,,51-100,Otras industrias,Ninguna de las anteriores,
Hombre,21,Argentina,Provincia de Buenos Aires,Universitario,En curso,Ingeniería en Informática,UNLaM - Universidad Nacional de La Matanza,SysAdmin / DevOps / SRE,55000,50000,,2,1,No,No recibo bono,No,0,0,Heterosexual,Sí,201-500,Servicios / Consultoría de Software / Digital,Horarios flexibles,
Hombre,31,Argentina,Ciudad Autónoma de Buenos Aires,Terciario,Completado,Tecnicatura Superior en Análisis de Sistemas,ISTEA - Instituto Superior Tecnológico Empresarial Argentino,SysAdmin / DevOps / SRE,95125,74144,,3,3,Un sueldo,Mix de las anteriores,No,0,0,Heterosexual,No,1001-2000,Otras industrias,"Abono de celular, Capacitaciones y/o cursos, Cuota para universidad / posgrados",
Hombre,22,Argentina,Ciudad Autónoma de Buenos Aires,Universitario,En curso,Ingeniería en Informática,UNLaM - Universidad Nacional de La Matanza,SysAdmin / DevOps / SRE,100000,82000,,4,4,Un sueldo,Performance grupal,Dos,30,6,Heterosexual,Sí,201-500,Producto basado en Software,"Abono de celular, Abono de Internet, Capacitaciones y/o cursos, Comidas pagas / subvencionadas, Cuota para universidad / posgrados, Descuentos varios (Mercado Pago, Clarín 365, Club La Nación, etc)","EY, ResolvIt, Naranja X"
Hombre,24,Argentina,Santa Fe,Universitario,Completado,Ingeniería en Sistemas de Información,UTN - Universidad Tecnológica Nacional,Developer,90000,72000,,3,1,De uno a tres sueldos,Performance de la compañía,Dos,11,3,Heterosexual,,501-1000,Otras industrias,"Capacitaciones y/o cursos, Clases de gimnasia online, Clases de idiomas, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",
Hombre,33,Argentina,Ciudad Autónoma de Buenos Aires,Universitario,En curso,Ingeniería en Informática,UNLaM - Universidad Nacional de La Matanza,SysAdmin / DevOps / SRE,105000,80000,,2,2,Menos de un sueldo,Performance individual,No,0,0,Heterosexual,No,1001-2000,Otras industrias,"Abono de celular, Clases de gimnasia online, Cuota para universidad / posgrados","Banco Galicia, Personal"
Hombre,34,Argentina,Ciudad Autónoma de Buenos Aires,Terciario,Incompleto,Analista de Sistemas,ESBA - Escuela Superior Buenos Aires,SysAdmin / DevOps / SRE,72300,57117,,3,3,De uno a tres sueldos,sindicato,Dos,12,6,Heterosexual,,10001+,Otras industrias,"Abono de celular, Abono de Internet, Capacitaciones y/o cursos, Clases de idiomas, Descuentos varios (Mercado Pago, Clarín 365, Club La Nación, etc), Licencia de paternidad/maternidad extendida",
Hombre,32,Argentina,Ciudad Autónoma de Buenos Aires,Universitario,Completado,Tecnicatura Superior en Programación,UNLaM - Universidad Nacional de La Matanza,BI Analyst / Data Analyst,90000,75000,,3,3,Menos de un sueldo,Mix de las anteriores,Más de tres,8,7,Heterosexual,No,Nov-50,Servicios / Consultoría de Software / Digital,"Capacitaciones y/o cursos, Vacaciones flexibles (adicionales a las reglamentarias)",
Hombre,43,Argentina,Ciudad Autónoma de Buenos Aires,Universitario,Incompleto,Analista de Sistemas,UK - Universidad Kennedy,Middleware,100000,75000,,2,2,Menos de un sueldo,Performance individual,No,0,0,Heterosexual,No,1001-2000,Producto basado en Software,"Abono de celular, Capacitaciones y/o cursos, Horarios flexibles",
Hombre,26,Argentina,Ciudad Autónoma de Buenos Aires,Terciario,En curso,Tecnicatura Superior en Programación,UTN - Universidad Tecnológica Nacional,Developer,27000,21995,,2,2,No,No recibo bono,No,0,0,Heterosexual,,101-200,Producto basado en Software,"Capacitaciones y/o cursos, Cuota para universidad / posgrados, Horarios flexibles","Atos, mercado libre, bbva"
Hombre,50,Argentina,Ciudad Autónoma de Buenos Aires,Universitario,Incompleto,Ingeniería Electrónica,,VP / C-Level,480000,345420,Mi sueldo está dolarizado,4,4,No,No recibo bono,No,0,0,¿Qué les importa?,,01-Oct,Producto basado en Software,"Cuota para universidad / posgrados, Horarios flexibles, Licencia de paternidad/maternidad extendida, Stock options / RSUs, Vacaciones flexibles (adicionales a las reglamentarias), Viáticos",
Hombre,26,Argentina,Mendoza,Terciario,Incompleto,Analista Programador,,Developer,82000,67000,,3,3,No,No recibo bono,No,0,0,Heterosexual,No,51-100,Otras industrias,"Capacitaciones y/o cursos, Horarios flexibles, Licencia de paternidad/maternidad extendida, Vacaciones flexibles (adicionales a las reglamentarias), Descuentos en productos de la compañía (seguros).","Eventbrite, Mercado Libre, Al Mundo."
Hombre,30,Argentina,Ciudad Autónoma de Buenos Aires,Secundario,Completado,,,Storage / Backup,92000,72000,,3,3,Menos de un sueldo,Performance individual,No,0,0,Heterosexual,,1001-2000,Otras industrias,"Abono de celular, Horarios flexibles",
Hombre,22,Argentina,GBA,Universitario,En curso,Ingeniería en Sistemas de Información,UTN - Universidad Tecnológica Nacional,SysAdmin / DevOps / SRE,170200,130000,Mi sueldo está dolarizado,4,4,No,No recibo bono,No,0,0,Bisexual o queer,No,Nov-50,Servicios / Consultoría de Software / Digital,"Capacitaciones y/o cursos, Horarios flexibles",
Hombre,32,Argentina,Provincia de Buenos Aires,Secundario,Incompleto,Telecomunicaciones,prozcenter,Networking,42000,36000,,3,1,Menos de un sueldo,Performance individual,No,0,0,Heterosexual,No,Nov-50,Otras industrias,"Abono de celular, Abono de Internet, Capacitaciones y/o cursos",
Hombre,22,Argentina,Ciudad Autónoma de Buenos Aires,Universitario,Incompleto,Ingeniería Química,"USB - Universidad Simón Bolívar (Caracas, Venezuela)",Developer,60000,49800,,1,1,No,No recibo bono,No,0,0,Heterosexual,No,501-1000,Otras industrias,"Capacitaciones y/o cursos, Horarios flexibles",
Mujer,30,Argentina,GBA,Universitario,Incompleto,Ingeniería en Informática,UBA - Universidad de Buenos Aires,Developer,283000,265000,Mi sueldo está dolarizado,4,4,No,No recibo bono,No,0,0,Heterosexual,,51-100,Servicios / Consultoría de Software / Digital,Horarios flexibles,
Hombre,28,Argentina,Provincia de Buenos Aires,Secundario,Completado,,,Developer,54120,47875,,3,3,No,No recibo bono,Uno,1,6,Heterosexual,,101-200,Producto basado en Software,"Abono de Internet, Clases de gimnasia online, Clases de idiomas, Descuentos varios (Mercado Pago, Clarín 365, Club La Nación, etc), Licencia de paternidad/maternidad extendida","Globant, Accenture, Global Logic, Spark Digital"
Hombre,22,Argentina,GBA,Universitario,En curso,Licenciatura en Redes,UP - Universidad de Palermo,SysAdmin / DevOps / SRE,65000,40000,,3,2,No,No recibo bono,Uno,25,3,Heterosexual,No,Nov-50,Producto basado en Software,Cuota para universidad / posgrados,"Salesforce, Medallia"
Hombre,26,Argentina,GBA,Universitario,Incompleto,Licenciatura en Sistemas de Información,UNLA - Universidad Nacional de Lanús,SysAdmin / DevOps / SRE,65000,55000,,2,2,No,No recibo bono,No,0,0,Heterosexual,,201-500,Producto basado en Software,Ninguna de las anteriores,
Hombre,34,Argentina,Ciudad Autónoma de Buenos Aires,Universitario,En curso,Ingeniería en Sistemas de Información,UTN - Universidad Tecnológica Nacional,SysAdmin / DevOps / SRE,165000,111000,,3,3,Un sueldo,Performance de la compañía,Uno,7.5,3,Heterosexual,,2001-5000,Servicios / Consultoría de Software / Digital,"Abono de celular, Capacitaciones y/o cursos, Clases de gimnasia online, Clases de idiomas, Comidas pagas / subvencionadas, Horarios flexibles, Viáticos",
Hombre,44,Argentina,Córdoba,Universitario,Incompleto,Ingeniería en Sistemas de Información,UTN - Universidad Tecnológica Nacional,SysAdmin / DevOps / SRE,100000,80000,,3,3,No,No recibo bono,Uno,17.5,7,Heterosexual,,Nov-50,Servicios / Consultoría de Software / Digital,Capacitaciones y/o cursos,
Hombre,26,Argentina,Ciudad Autónoma de Buenos Aires,Terciario,Completado,Técnico súperior en soporte de infraestructuras,ISTEA - Instituto Superior Tecnológico Empresarial Argentino,Architect,180000,150000,,4,3,De uno a tres sueldos,Mix de las anteriores,No,0,0,Heterosexual,,2001-5000,Otras industrias,"Abono de celular, Abono de Internet, Capacitaciones y/o cursos, Clases de gimnasia online, Clases de idiomas, Horarios flexibles, Licencia de paternidad/maternidad extendida, Vacaciones flexibles (adicionales a las reglamentarias)","Santander Tecnología, VMware, Nutanix, Mercadolibre y JPMC (las últimas dos solo para devs)"
